10.81978,0,67,4489,2
11.0021,1,71,5041,3
11.15625,0,56,3136,3
11.28978,0,59,3481,3
11.28978,0,73,5329,3
11.40757,0,45,2025,3
10.30895,1,57,3249,3
10.59663,0,42,1764,3
11.51293,1,48,2304,1
11.40757,0,57,3249,3
11.40757,0,55,3025,1
11.40757,1,52,2704,3
10.59663,0,47,2209,2
10.81978,1,70,4900,3
10.30895,0,68,4624,3
11.40757,0,54,2916,3
11.40757,0,67,4489,3
11.0021,1,65,4225,3
10.30895,1,60,3600,3
11.28978,0,63,3969,3
11.40757,0,69,4761,2
11.51293,1,41,1681,3
11.40757,0,37,1369,3
11.28978,1,57,3249,3
9.21034,1,71,5041,2
11.15625,1,41,1681,3
10.59663,0,53,2809,3
11.40757,1,33,1089,3
11.15625,0,55,3025,2
10.81978,0,55,3025,2
11.40757,1,53,2809,2
11.40757,1,51,2601,2
11.40757,0,60,3600,3
11.15625,1,56,3136,3
11.28978,0,37,1369,3
10.59663,1,61,3721,2
10.81978,1,71,5041,3
10.30895,1,45,2025,2
10.81978,1,67,4489,3
9.21034,1,62,3844,1
10.81978,1,69,4761,2
10.81978,1,55,3025,2
11.51293,0,50,2500,2
11.40757,0,41,1681,3
11.0021,0,62,3844,3
10.81978,1,55,3025,1
11.28978,0,58,3364,1
11.0021,0,66,4356,3
11.51293,1,68,4624,3
9.21034,0,43,1849,2
9.21034,1,34,1156,3
11.40757,0,67,4489,3
11.51293,0,40,1600,3
11.0021,0,42,1764,3
11.15625,1,47,2209,3
11.15625,1,69,4761,2
11.40757,0,65,4225,3
11.51293,0,50,2500,3
11.40757,0,52,2704,3
10.81978,1,66,4356,2
11.51293,0,59,3481,3
11.51293,0,42,1764,3
10.81978,0,63,3969,3
9.903487,1,69,4761,3
11.28978,0,62,3844,3
11.0021,1,53,2809,1
11.0021,0,53,2809,1
10.59663,0,73,5329,3
10.59663,1,71,5041,3
10.30895,1,65,4225,3
11.28978,0,58,3364,3
11.40757,0,63,3969,3
11.28978,1,75,5625,3
11.28978,1,42,1764,3
9.21034,1,67,4489,1
11.40757,1,45,2025,3
11.40757,0,59,3481,3
10.81978,0,56,3136,2
11.51293,0,49,2401,3
10.30895,1,68,4624,2
11.0021,0,64,4096,3
10.30895,1,62,3844,2
10.81978,0,59,3481,3
11.0021,0,62,3844,2
9.21034,0,53,2809,3
11.40757,0,50,2500,3
11.51293,0,51,2601,3
11.28978,0,51,2601,3
11.28978,0,67,4489,2
11.51293,1,42,1764,3
11.15625,0,54,2916,3
11.28978,0,33,1089,3
9.21034,1,62,3844,2
11.28978,1,62,3844,3
11.40757,0,55,3025,3
10.30895,0,57,3249,2
11.28978,1,56,3136,3
11.40757,1,55,3025,1
11.40757,1,44,1936,2
10.81978,0,72,5184,3
9.903487,1,61,3721,2
11.28978,0,75,5625,3
11.28978,0,43,1849,3
11.15625,1,32,1024,3
11.0021,0,48,2304,3
11.28978,0,43,1849,3
11.28978,0,55,3025,2
9.21034,0,61,3721,3
11.28978,0,59,3481,3
11.0021,1,51,2601,1
11.40757,0,44,1936,2
11.51293,0,63,3969,3
11.28978,1,60,3600,3
11.15625,0,59,3481,3
9.21034,1,37,1369,2
11.28978,0,56,3136,3
11.28978,1,57,3249,3
11.15625,0,48,2304,2
11.40757,0,51,2601,1
11.40757,0,67,4489,3
11.15625,1,59,3481,1
11.51293,0,51,2601,3
