3,46,1
0,29,1
1,27,0
3,36,0
3,39,0
3,54,1
3,42,0
0,23,1
2,35,0
3,58,0
3,37,1
3,35,1
3,55,0
3,52,0
2,35,0
3,52,1
0,22,1
3,44,0
0,27,1
3,58,1
0,29,1
3,37,0
3,43,0
1,37,0
3,31,0
3,51,0
3,29,1
3,45,1
3,58,1
3,37,0
2,22,1
3,41,1
3,21,1
3,31,0
0,27,1
2,54,0
3,38,1
3,28,0
3,53,0
3,46,1
3,30,0
0,21,0
3,34,0
3,35,1
1,53,0
3,42,1
0,28,1
1,46,0
0,27,1
3,29,1
2,37,0
2,21,0
2,44,0
3,27,1
3,41,1
3,42,0
3,51,1
3,36,1
3,25,0
3,48,0
3,40,1
3,58,1
2,27,0
2,21,0
3,53,1
2,25,0
3,40,1
3,22,1
0,40,1
3,55,1
3,24,0
2,35,0
2,37,0
0,21,1
2,46,0
3,34,1
0,32,1
1,32,0
3,29,0
3,38,0
3,25,0
2,42,0
0,42,1
2,41,1
1,42,0
2,44,0
1,43,0
3,59,1
3,51,0
3,47,0
3,35,1
2,31,0
3,59,0
3,50,0
0,27,1
2,30,0
2,41,1
3,27,0
3,55,1
3,49,1
2,44,0
1,36,0
3,42,1
3,32,0
3,55,1
3,41,0
3,25,1
0,26,1
3,51,0
3,59,0
3,47,0
3,37,1
0,30,1
3,54,1
1,32,0
3,47,0
3,54,1
2,44,0
0,23,1
3,41,1
3,41,0
3,26,1
3,50,1
3,58,1
3,27,1
2,35,0
3,32,0
3,43,1
3,37,1
3,57,0
3,37,1
0,34,1
3,49,0
1,34,0
3,42,1
3,30,0
2,48,0
3,25,0
2,35,0
1,22,0
3,58,1
3,38,0
1,28,0
2,55,0
3,44,0
0,23,1
3,56,1
0,23,1
3,57,1
0,42,1
3,37,0
3,36,0
3,57,0
3,52,0
3,52,0
3,31,0
3,49,0
3,36,0
3,45,1
2,34,0
3,41,0
3,55,1
3,42,0
3,57,0
3,55,1
2,39,1
3,38,0
2,38,0
3,31,0
2,21,0
3,58,1
2,50,0
3,41,0
0,22,1
3,51,1
3,33,0
0,23,1
3,27,1
3,57,0
0,36,0
0,28,1
3,50,0
3,39,1
3,57,1
0,29,1
3,55,0
3,52,1
0,23,1
3,30,0
1,22,0
2,60,0
1,48,0
3,27,0
3,48,0
1,48,0
3,59,1
3,53,1
2,23,0
3,60,0
2,44,0
0,39,1
1,29,0
3,54,0
2,45,0
0,34,1
3,49,1
2,46,0
2,30,0
2,44,0
3,57,1
3,50,0
2,46,0
3,29,0
0,24,1
3,43,0
1,33,0
3,56,1
3,40,0
3,34,1
0,36,1
3,47,1
3,31,1
3,59,0
3,52,0
3,24,0
3,43,1
3,37,0
2,31,0
2,39,1
0,29,1
3,48,0
3,21,0
3,27,0
0,46,1
2,47,0
3,50,1
2,47,1
1,22,0
3,60,0
3,32,1
3,53,1
3,28,0
0,39,1
1,41,0
3,58,0
3,43,1
3,41,0
3,36,1
3,28,0
3,38,0
2,30,0
2,38,0
3,58,1
